,Flip
0,0
1,0
2,1
3,0
4,0
5,0
6,0
7,1
8,1
9,1
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,1
20,0
21,1
22,1
23,0
24,1
25,1
26,1
27,1
28,1
29,0
30,0
31,0
32,1
33,0
34,0
35,1
36,1
37,1
38,1
39,1
40,0
41,1
42,0
43,1
44,1
45,0
46,1
47,0
48,1
49,0
50,1
51,1
52,1
53,0
54,0
55,1
56,0
57,0
58,1
59,0
60,0
61,0
62,0
63,0
64,1
65,0
66,1
67,0
68,0
69,0
70,0
71,0
72,1
73,0
74,1
75,1
76,0
77,0
78,1
79,1
80,0
81,1
82,1
83,1
84,0
85,0
86,0
87,0
88,1
89,0
90,0
91,0
92,1
93,1
94,0
95,0
96,0
97,1
98,1
99,0
100,0
101,0
102,0
103,1
104,0
105,1
106,1
107,1
108,1
109,0
110,1
111,0
112,0
113,0
114,0
115,0
116,1
117,1
118,0
119,0
120,0
121,1
122,1
123,0
124,0
125,1
126,0
127,1
128,1
129,0
130,1
131,0
132,0
133,0
134,1
135,0
136,1
137,1
138,1
139,1
140,0
141,0
142,1
143,1
144,0
145,1
146,0
147,1
148,0
149,1
150,0
151,1
152,0
153,1
154,1
155,1
156,0
157,1
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,1
172,0
173,0
174,0
175,0
176,1
177,1
178,0
179,0
180,0
181,1
182,1
183,1
184,1
185,0
186,1
187,0
188,0
189,0
190,1
191,1
192,1
193,1
194,1
195,0
196,0
197,0
198,0
199,1
200,0
201,0
202,0
203,1
204,1
205,1
206,1
207,1
208,0
209,0
210,1
211,1
212,1
213,1
214,1
215,0
216,0
217,1
218,0
219,0
220,1
221,0
222,1
223,0
224,0
225,0
226,0
227,1
228,0
229,1
230,0
231,1
232,1
233,0
234,1
235,1
236,1
237,1
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,1
246,1
247,1
248,1
249,1
