,wavelength,flux
0,1300.0,7.68777394602694e-21
1,1300.13,7.551396789884293e-21
2,1300.26,7.556973345213774e-21
3,1300.3901,7.596092566223224e-21
4,1300.5201,7.485769025410888e-21
5,1300.6503,7.367475323162711e-21
6,1300.7803,7.461907572436611e-21
7,1300.9104,7.360789105798385e-21
8,1301.0405,7.459977559378782e-21
9,1301.1707,7.375193449011607e-21
10,1301.3008,7.243929267006787e-21
11,1301.4309,7.339867744467172e-21
12,1301.5612,7.394443531943991e-21
13,1301.6913,7.379953455304206e-21
14,1301.8215,7.392835190105991e-21
15,1301.9517,7.305534290473116e-21
16,1302.0819,7.134673047590399e-21
17,1302.2122,7.322908397971772e-21
18,1302.3424,7.234491959674905e-21
19,1302.4727,7.26576093109472e-21
20,1302.6029,7.263999562206328e-21
21,1302.7332,7.169608182759361e-21
22,1302.8635,7.139950679064774e-21
23,1302.9938,7.212919269242483e-21
24,1303.1241,7.165343517142281e-21
25,1303.2544,7.153404039942946e-21
26,1303.3848,7.14282265006745e-21
27,1303.5151,7.001259809041825e-21
28,1303.6455,7.146713629032906e-21
29,1303.7759,7.064744363596709e-21
30,1303.9062,7.115468106205893e-21
31,1304.0367,7.021912042849535e-21
32,1304.1671,7.018993919815005e-21
33,1304.2976,7.01836824511094e-21
34,1304.428,7.0527359525671e-21
35,1304.5585,7.208903785658895e-21
36,1304.689,7.082994058078185e-21
37,1304.8195,7.165865316557705e-21
38,1304.95,7.089516930869609e-21
39,1305.0804,7.105254551806335e-21
40,1305.211,7.199735359278733e-21
41,1305.3416,7.122566711278935e-21
42,1305.4722,7.161873513317436e-21
43,1305.6027,7.361939217557308e-21
44,1305.7333,7.321849924972782e-21
45,1305.8639,7.167839069502993e-21
46,1305.9945,7.395227851370825e-21
47,1306.1251,7.411570558010022e-21
48,1306.2557,7.53137404812659e-21
49,1306.3864,7.427224933608779e-21
50,1306.5171,7.571094302716029e-21
51,1306.6477,7.554361552604149e-21
52,1306.7784,7.633958443627995e-21
53,1306.909,7.759552810417033e-21
54,1307.0398,7.696784860582202e-21
55,1307.1705,7.743616978797604e-21
56,1307.3013,7.829102971890598e-21
57,1307.432,7.882933796533708e-21
58,1307.5627,8.020854073931872e-21
59,1307.6936,8.025941632264193e-21
60,1307.8243,8.009132894211372e-21
61,1307.9552,8.02663582267884e-21
62,1308.0859,8.183865537579836e-21
63,1308.2168,8.084759213151235e-21
64,1308.3477,8.237149176362324e-21
65,1308.4785,8.308984849464543e-21
66,1308.6094,8.20585609077182e-21
67,1308.7402,8.406819970589199e-21
68,1308.8712,8.505710905437962e-21
